Dynamic typing,commit_size
(17, 10)
(4, 14)
(13, 22)
(2, 4)
(4, 47)
(4, 25)
(13, 11)
(3, 19)
(13, 10)
(17, 2)
(4, 2)
(4, 2)
(17, 12)
(13, 2)
(4, 58)
(3, 4)
(4, 3)
(4, 26)
(2, 2)
(17, 6)
(8, 1)
(13, 20)
(5, 9)
(4, 5)
(17, 4)
(17, 3)
(4, 13)
(5, 2)
(3, 4)
(17, 5)
(17, 11)
(17, 35)
(17, 2)
(5, 16)
(5, 6)
(17, 4)
(3, 3)
(4, 6)
(17, 4)
(3, 4)
(13, 2)
(3, 123)
(8, 2)
(17, 6)
('requests', 'commit_size', 'Pearsonr', -0.07229071912890604, 0.0024574441919490665)
Dynamic typing,commit_size
(2, 4)
(3, 2)
(8, 8)
(6, 103)
(14, 15)
(2, 4)
(2, 184)
(2, 242)
(4, 384)
(3, 5)
(8, 5)
(3, 392)
(2, 25)
(6, 10)
(2, 2)
(2, 71)
(4, 13)
(4, 160)
(6, 77)
(26, 68)
(7, 126)
(6, 20)
(2, 110)
(3, 5)
(2, 2)
(2, 2)
(6, 2)
(6, 2)
(2, 2)
(2, 267)
(2, 267)
(2, 2)
(7, 58)
(2, 4)
(2, 2)
(7, 58)
(2, 4)
(2, 4)
(2, 5)
(6, 2)
(2, 2)
(13, 9)
(2, 62)
(3, 23)
(2, 88)
(3, 57)
(2, 147)
(4, 15)
(2, 26)
(2, 104)
(4, 21)
(10, 479)
(6, 223)
(4, 532)
(2, 23)
(7, 82)
(8, 359)
(6, 344)
(2, 66)
(26, 17)
(6, 11)
(6, 67)
(2, 28)
(13, 61)
(10, 89)
(4, 399)
(2, 106)
(3, 10)
(4, 7)
(2, 583)
(4, 5)
(2, 68)
(16, 148)
(2, 321)
(2, 4)
(6, 2)
(2, 2)
(2, 21)
(2, 83)
(2, 42)
(2, 49)
(2, 3)
(4, 4)
(3, 2)
(2, 61)
(6, 2)
(6, 2)
(6, 34)
(2, 5)
(6, 4)
(6, 2)
(6, 34)
(6, 4)
(2, 4)
(2, 7)
(2, 23)
(2, 3)
(2, 31)
(5, 67)
(4, 52)
(2, 17)
(4, 5)
(8, 18)
(2, 67)
(2, 23)
(4, 5)
(14, 2)
(2, 18)
(17, 13)
(2, 19)
(4, 4)
(13, 35)
